Unicode	Sound	syllabic	stress	long	consonantal	sonorant	continuant	delayed release	approximant	tap	trill	nasal	voice	spread gl	constr gl	labial	round	labiodental	coronal	anterior	distributed	strident	lateral	dorsal	high	low	front	back	tense
p͡f	Vow	-	-	-	+	-	-	+	-	-	-	-	-	-	-	+	-	+	-	0	0	0	-	-	0	0	0	0	0
b͡v	Vow	-	-	-	+	-	-	+	-	-	-	-	+	-	-	+	-	+	-	0	0	0	-	-	0	0	0	0	0
p͡ɸ	Vow	-	-	-	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	-	0	0	0	0	0
b͡β	Vow	-	-	-	+	-	-	+	-	-	-	-	+	-	-	+	-	-	-	0	0	0	-	-	0	0	0	0	0
t̪͡θ	Vow	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	+	+	+	-	-	-	0	0	0	0	0
d̪͡ð	Vow	-	-	-	+	-	-	+	-	-	-	-	+	-	-	-	-	-	+	+	+	-	-	-	0	0	0	0	0
c͡ç	Vow	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	+	+	-	+	-	0
ɟ͡ʝ	Vow	-	-	-	+	-	-	+	-	-	-	-	+	-	-	-	-	-	+	-	+	-	-	+	+	-	+	-	0
k͡x	Vow	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	0	0	0	-	+	+	-	0	0	0
k̠͡x̠	Vow	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	0	0	0	-	+	+	-	-	+	0
ɡ͡ɣ	Vow	-	-	-	+	-	-	+	-	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	+	-	0	0	0
ɡ̠͡ɣ̠	Vow	-	-	-	+	-	-	+	-	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	+	-	-	+	0
q͡χ	Vow	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	0	0	0	-	+	-	-	-	+	0
ɢ͡ʁ	Vow	-	-	-	+	-	-	+	-	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	-	+	0
